authorMeta/digg,authorMeta/fans,authorMeta/heart,webVideoUrl,isAd,isSponsored,playCount,diggCount,commentCount,shareCount,videoMeta/duration,videoMeta/subtitleLinks/1/downloadLink,text
42,33,2553,https://www.tiktok.com/@coinecoinee/video/7502812971429612807,FALSE,FALSE,907,42,2,5,132,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-coinecoine-20250510134618-7502812971429612807-vie-VN,Review khách sạn view triệu đô giữa lòng Bangkok  🇹🇭 Hotel Sala Rattanakosin 🇹🇭  #salarattanakosinbangkok #bangkokthailand #viral #travel #thailand #reviewbangkok  #coinecoine #dulichthailan #bangkoktrip #reviewdulich #travelvlog #xuhuong #WatArunView #reviewkhachsan #hotelbangkok #hotelthailand
1969,11500,215000,https://www.tiktok.com/@tony_khoa/video/7403386511242071304,FALSE,FALSE,10300,36,3,35,60,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-tony_khoa-20240815152049-7403386511242071304-vie-VN,Midas hotel khách sạn đẹp giữa trung tâm phú nhuận #xuhuong #tiktok #review #reviewkhachsan #saigon #kháchsạn#kháchsạnn #khachsangiare #tiktokviral #midashotel #khachsansaigon #hotelsaigon #xuhuongtiktok 
170,2255,59700,https://www.tiktok.com/@ponhaydi79/video/7374798463759863056,FALSE,FALSE,240300,6837,312,1314,130,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-ponhaydi79-20240530142440-7374798463759863056-vie-VN,"✨ vlog riviu khách sạn Nha Trang và lần này là Queen An 👍 xịn xò dã man luôn mng, ngay trục đường biển , có nhiều loại phòng mà phòng nào cũng sẽ được trang trí rất đẹp, tone xanh dương dễ chịu 🥰 hè này ra Nha Trang du lịch có thể check Queen Ann Hotel này nhaaa , ưng thì ớiiii Pon ngay 😎#xuhuong #trending #nhatrang #dulichnhatrang #ponhaydi #nhatrangduhi #tiktok #fyp #dulich #travel #reviewkhachsan #khachsannhatrang #hotelnhatrang #khachsannhatrangviewbien #longervideos "
1829,377,2333,https://www.tiktok.com/@royals.home/video/7388366304249466128,FALSE,FALSE,40400,194,45,45,52,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-royalshome-20240706035453-7388366304249466128-vie-VN,Đến Sài Gòn ở đâu vừa r.ẻ lại vừa tiện hả mọi người ? #dulichsaigon #reviewkhachsan #dulich #xuhuongtiktok #benhvienphapviet #khachsandep #travel 
900,1076,4642,https://www.tiktok.com/@anhkaimi/video/7251448146293804294,FALSE,FALSE,1698,40,8,4,46,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-anhkaimi-20230703044223-7251448146293804294-vie-VN,Review Khách Sạn 80 phòng ở trung tâm Hà Nội #anhkaimi #reviewkhachsan  #khoathetukhachsan  #review 
1829,377,2333,https://www.tiktok.com/@royals.home/video/7386547348589022465,FALSE,FALSE,21600,106,23,42,60,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-royalshome-20240701061624-7386547348589022465-vie-VN,Khám phá Khách Sạn mới khai trương thì có gì ? ☘️ THE ROYAL VISTA Thuộc hệ thống Khách Sạn THE ROYAL PHÚ MỸ HƯNG #dulichsaigon #reviewkhachsan #khachsanquan7 #khachsantheroyalphumyhung #benhvienphapviet #xuhuongtiktok #thuephonggiare 
579,119900,1300000,https://www.tiktok.com/@giadinhamber/video/7446760681061354770,FALSE,FALSE,105600,7697,64,138,62,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-giadinhamb-20241210123447-7446760681061354770-vie-VN,Review nhanh Lacasa hotel 3* tại Sapa #reviewkhachsan #hotel #travel #tiktok #khachsan #sapa #giadinhamber 
149,139,2142,https://www.tiktok.com/@quangvutravel/video/7502657083859307784,FALSE,FALSE,1041,20,7,1,26,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-quangvutra-20250510034124-7502657083859307784-vie-VN,"#chiclandhotel Đ𝐀̀ 𝐍𝐀̆̃𝐍𝐆 - khách sạn lấy cảm hứng từ thiên nhiên và hướng tới sự tự nhiên như trong hơi thở, du khách đến có thể cảm nhận ánh sáng từ nắng, gió và không khí biển tại Đà Nẵng🌊 #reviewdulich #reviewdanang #dulichdanang #khachsandanang #viralvideo #xuhuong #xuhuongtiktok         "
5041,288,12200,https://www.tiktok.com/@thungaangel/video/7446680439017737492,FALSE,FALSE,1051,13,4,2,50,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-thungaange-20241210072327-7446680439017737492-vie-VN,Review khách sạn Cần Thơ 🤭#thungaangel #reviewkhachsan #magnolia #cantho #travel 
480,331,3026,https://www.tiktok.com/@reviewkhachsandanang43rv/video/7485352123186597137,FALSE,FALSE,3375,50,38,32,37,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-reviewkhac-20250324122942-7485352123186597137-vie-VN,"Review khách sạn 4 sao Pavilion Hotel Danang vị trí đắc địa gần biển, gần cầu Rồng, đầy đủ tiện nghi z.á tốt  #reviewkhachsandanang #pavilionhoteldanang #khachsandanang #khachsandepdanang #hanigotravel"
38,60,557,https://www.tiktok.com/@nhipsongviet/video/7268157452464573702,FALSE,FALSE,3212,21,3,4,111,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-nhipsongvi-20230817052302-7268157452464573702-vie-VN,Vũng Tàu 2023 - Green Hotel ✅ Khách sạn gần biển #reviewkhachsan #khachsanvungtau #review
63,3718,67100,https://www.tiktok.com/@antdooo/video/7452228152912284935,FALSE,FALSE,2460,85,11,3,128,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-antdooo-20241225061123-7452228152912284935-vie-VN,Review khách sạn Novotel Darling Harbour Sydney. #duhocsinhuc #dulich #reviewkhachsan #sydney 
